17.7;1.02536;2.04104;2
17.8;1.02318;2.0375;2
17.9;1.02098;2.03395;2
18;1.01879;2.03041;2
18.1;1.01661;2.02688;2
18.2;1.01446;2.02339;2
18.3;1.01233;2.01994;2
18.4;1.01023;2.01655;2
18.5;1.00817;2.01323;2
18.6;1.00617;2.00998;2
18.7;1.00421;2.00681;2
18.8;1.00231;2.00374;2
18.9;1.00048;2.00078;2
19;0.998716;1.99792;2
19.1;0.997024;1.99518;2
19.2;0.995407;1.99257;2
19.3;0.99387;1.99008;2
19.4;0.992415;1.98773;2
19.5;0.991044;1.98551;2
19.6;0.989761;1.98343;2
19.7;0.988565;1.9815;2
19.8;0.987458;1.97971;2
19.9;0.986442;1.97806;2
20;0.985517;1.97657;2
20.1;0.984682;1.97521;2
20.2;0.983937;1.97401;2
20.3;0.983282;1.97295;2
20.4;0.982716;1.97203;2
20.5;0.982238;1.97126;2
20.6;0.981846;1.97063;2
20.7;0.981538;1.97013;2
20.8;0.981313;1.96976;2
20.9;0.981167;1.96953;2
21;0.981099;1.96942;2
21.1;0.981106;1.96943;2
21.2;0.981184;1.96956;2
21.3;0.981332;1.96979;2
21.4;0.981545;1.97014;2
21.5;0.981821;1.97059;2
21.6;0.982155;1.97113;2
21.7;0.982545;1.97176;2
21.8;0.982987;1.97247;2
21.9;0.983476;1.97326;2
22;0.98401;1.97413;2
22.1;0.984585;1.97506;2
22.2;0.985197;1.97605;2
22.3;0.985842;1.97709;2
22.4;0.986516;1.97818;2
22.5;0.987216;1.97932;2
22.6;0.987939;1.98048;2
22.7;0.988679;1.98168;2
22.8;0.989435;1.98291;2
22.9;0.990202;1.98415;2
23;0.990977;1.9854;2
23.1;0.991757;1.98666;2
23.2;0.992539;1.98793;2
23.3;0.993319;1.98919;2
23.4;0.994096;1.99045;2
23.5;0.994865;1.99169;2
23.6;0.995624;1.99292;2
23.7;0.996371;1.99413;2
23.8;0.997103;1.99531;2
23.9;0.997819;1.99647;2
24;0.998515;1.9976;2
24.1;0.999191;1.99869;2
24.2;0.999843;1.99975;2
24.3;1.00047;2.00076;2
24.4;1.00107;2.00174;2
24.5;1.00165;2.00267;2
24.6;1.0022;2.00356;2
24.7;1.00272;2.00439;2
24.8;1.0032;2.00518;2
24.9;1.00366;2.00592;2
25;1.00409;2.00661;2
25.1;1.00448;2.00725;2
25.2;1.00484;2.00783;2
25.3;1.00517;2.00836;2
25.4;1.00547;2.00884;2
25.5;1.00573;2.00927;2
25.6;1.00596;2.00965;2
25.7;1.00616;2.00997;2
25.8;1.00633;2.01025;2
25.9;1.00647;2.01047;2
26;1.00658;2.01065;2
26.1;1.00666;2.01078;2
26.2;1.00671;2.01086;2
26.3;1.00674;2.0109;2
26.4;1.00673;2.0109;2
26.5;1.00671;2.01085;2
26.6;1.00665;2.01076;2
26.7;1.00658;2.01064;2
26.8;1.00648;2.01048;2
26.9;1.00636;2.01029;2
27;1.00622;2.01006;2
27.1;1.00606;2.00981;2
27.2;1.00589;2.00952;2
27.3;1.00569;2.00921;2
27.4;1.00549;2.00888;2
27.5;1.00527;2.00853;2
27.6;1.00504;2.00816;2
27.7;1.0048;2.00777;2
27.8;1.00455;2.00736;2
27.9;1.00429;2.00695;2
28;1.00403;2.00652;2
28.1;1.00376;2.00608;2
28.2;1.00349;2.00564;2
28.3;1.00321;2.00519;2
28.4;1.00293;2.00474;2
28.5;1.00265;2.00429;2
28.6;1.00237;2.00384;2
28.7;1.0021;2.00339;2
28.8;1.00182;2.00295;2
28.9;1.00155;2.00251;2
29;1.00129;2.00208;2
29.1;1.00103;2.00166;2
29.2;1.00077;2.00125;2
29.3;1.00052;2.00085;2
29.4;1.00028;2.00046;2
29.5;1.00005;2.00008;2
29.6;0.999827;1.99972;2
29.7;0.999612;1.99937;2
29.8;0.999407;1.99904;2
29.9;0.999213;1.99873;2
30;0.999028;1.99843;2
30.1;0.998855;1.99815;2
30.2;0.998692;1.99788;2
30.3;0.998541;1.99764;2
30.4;0.9984;1.99741;2
30.5;0.998272;1.9972;2
30.6;0.998155;1.99701;2
30.7;0.998049;1.99684;2
30.8;0.997955;1.99669;2
30.9;0.997873;1.99656;2
31;0.997801;1.99644;2
31.1;0.997741;1.99634;2
31.2;0.997692;1.99626;2
31.3;0.997653;1.9962;2
31.4;0.997625;1.99616;2
31.5;0.997607;1.99613;2
31.6;0.997599;1.99611;2
31.7;0.9976;1.99612;2
31.8;0.99761;1.99613;2
31.9;0.997629;1.99616;2
32;0.997657;1.99621;2
32.1;0.997692;1.99627;2
32.2;0.997735;1.99634;2
32.3;0.997785;1.99642;2
32.4;0.997841;1.99651;2
32.5;0.997904;1.99661;2
32.6;0.997972;1.99672;2
32.7;0.998045;1.99684;2
32.8;0.998123;1.99696;2
32.9;0.998205;1.9971;2
33;0.998291;1.99723;2
33.1;0.99838;1.99738;2
33.2;0.998472;1.99753;2
33.3;0.998566;1.99768;2
33.4;0.998662;1.99784;2
33.5;0.99876;1.99799;2
33.6;0.998858;1.99815;2
33.7;0.998957;1.99831;2
33.8;0.999057;1.99847;2
33.9;0.999156;1.99863;2
34;0.999254;1.99879;2
34.1;0.999352;1.99895;2
34.2;0.999448;1.99911;2
34.3;0.999543;1.99926;2
34.4;0.999636;1.99941;2
34.5;0.999727;1.99956;2
34.6;0.999815;1.9997;2
34.7;0.999901;1.99984;2
34.8;0.999984;1.99997;2
34.9;1.00006;2.0001;2
35;1.00014;2.00023;2
